nflId,snaps_played,Position,Name,height,weight,xSTRAIN
37100,60,CB,Jimmy Smith,6-2,210,-0.431559127574
37101,52,RB,Mark Ingram,5-9,215,-0.28605731615
37104,174,DT,Cameron Heyward,6-5,295,0.2698293223
37110,54,QB,Andy Dalton,6-2,220,0.151984141164
37112,6,DE,Jabaal Sheard,6-3,268,0.35068318314
37118,144,TE,Kyle Rudolph,6-6,265,-0.22444042667
37130,143,C,Rodney Hudson,6-2,315,-0.003546262207
37145,151,OLB,Justin Houston,6-3,270,0.22242374225
37179,4,TE,Luke Stocker,6-5,253,-0.530319753528
37213,106,T,Marcus Cannon,6-6,335,-0.528785613
37229,85,CB,Richard Sherman,6-3,195,0.18692703963
37234,56,TE,Lee Smith,6-6,265,-0.1992257225331
37240,90,OLB,Pernell McPhee,6-3,265,-0.1320667794514
37255,41,QB,Tyrod Taylor,6-1,215,0.12402600557
37266,242,C,Jason Kelce,6-3,295,-0.01628515876269
37308,75,DT,Lawrence Guy,6-4,315,0.355393625239
37317,102,MLB,Malcolm Smith,6-0,225,-0.125234108069
37724,72,CB,Chris Harris,5-10,199,-0.2898583866122
37778,56,ILB,Josh Bynes,6-1,235,-0.27858966736
37841,95,DE,Mario Addison,6-3,260,0.059285306479
38538,242,QB,Ryan Tannehill,6-4,207,0.054365011196
38542,159,DT,Fletcher Cox,6-4,310,0.17092272191
38544,127,DE,Michael Brockers,6-5,305,0.095438379176
38548,141,OLB,Melvin Ingram,6-2,247,-0.114401452723
38551,154,OLB,Chandler Jones,6-5,265,0.223286543476
38553,223,T,Riley Reiff,6-6,305,-0.396827835
38555,133,OLB,Dont'a Hightower,6-3,260,0.065211617451
38556,114,DE,Whitney Mercilus,6-4,258,0.163056508991
38557,257,G,Kevin Zeitler,6-4,315,-0.28004104328
38559,208,SS,Harrison Smith,6-2,214,-0.077656019064
38577,260,MLB,Bobby Wagner,6-0,242,0.170694186339
38588,194,ILB,Lavonte David,6-1,233,0.304535542206
38605,132,QB,Russell Wilson,5-11,215,0.424213195
38606,39,G,Brandon Brooks,6-5,335,-0.121230803245
38607,230,ILB,Demario Davis,6-2,248,0.004266802192
38619,80,DT,Akiem Hicks,6-4,352,0.433680083
38632,218,QB,Kirk Cousins,6-3,202,-0.16072984387
38642,266,T,Bobby Massie,6-6,325,-0.2318351163
38667,173,DT,Malik Jackson,6-5,290,0.3163198535
38696,203,WR,Marvin Jones,6-2,198,-0.403494676265
38868,98,FS,Tashaun Gipson,6-1,212,-0.32308711374
38937,32,QB,Case Keenum,6-1,215,0.20175819381
39008,27,OLB,Julian Stanford,6-1,230,0.28747437944
39212,84,RB,Brandon Bolden,5-11,220,0.103458140143
39907,65,TE,Darren Fells,6-7,270,-0.10892430271
39908,151,FS,Erik Harris,6-2,220,-0.4436797078
39941,8,FS,Chris Banjo,5-10,207,0.689809057671
39947,160,T,Eric Fisher,6-7,315,-0.178940350525
39950,119,T,Lane Johnson,6-6,317,-0.0675502028532
39959,108,DT,Sheldon Richardson,6-3,294,0.38458945215
39960,88,DT,Star Lotulelei,6-2,318,0.166647301264
39965,188,G,Justin Pugh,6-5,311,0.079942129734
39975,114,RB,Cordarrelle Patterson,6-2,238,-0.13811799886
39976,136,ILB,Alec Ogletree,6-2,235,0.4759630934733
39983,148,TE,Zach Ertz,6-5,250,-0.045932503215
39985,70,RB,Giovani Bernard,5-9,205,-0.052506137927
39987,73,QB,Geno Smith,6-3,221,0.1928075904854
39989,207,WR,Robert Woods,6-0,193,-0.472399705414
39993,75,ILB,Kevin Minter,6-0,246,0.012554410254
39996,40,RB,Le'Veon Bell,6-1,225,-0.31373026655
39997,120,NT,Johnathan Hankins,6-3,340,0.0604692044
39998,102,OLB,Jon Bostic,6-1,245,0.0089190168132
40000,60,OLB,Jamie Collins,6-3,255,-0.2189138439
40001,5,DT,Margus Hunt,6-8,295,0.33109908354
40008,212,CB,Robert Alford,5-10,186,-0.14557478871
40011,263,TE,Travis Kelce,6-5,260,0.0029466016462
40017,202,SS,Tyrann Mathieu,5-9,190,1.3376830279
40021,22,QB,Mike Glennon,6-7,225,-0.03619275725
40023,87,T,Terron Armstead,6-5,304,-0.363150900491
40030,57,NT,John Jenkins,6-3,327,0.117338945361
40031,243,FS,Logan Ryan,5-11,195,0.11253731172
40039,181,SS,Duron Harmon,6-1,205,-0.0406617587457
40042,94,NT,Brandon Williams,6-1,336,0.0362195451468
40051,118,DE,Alex Okafor,6-4,260,-0.020630026741
40070,218,C,J.C. Tretter,6-4,307,-0.035303700664
40074,107,DE,William Gholston,6-6,281,0.223012121036
40077,11,DE,John Simon,6-2,260,0.203269171878
40089,167,G,Oday Aboushi,6-5,315,-0.096628580196
40095,163,OLB,Steven Means,6-3,263,0.0947546489648
40096,62,OLB,A.J. Klein,6-1,240,0.064718469378
40107,194,FS,Micah Hyde,6-0,197,0.304242460509
40129,82,RB,Latavius Murray,6-3,230,-0.18393724179
40138,37,RB,Rex Burkhead,5-10,215,-0.167323637287
40151,272,C,Ryan Jensen,6-4,319,-0.141314409973
40166,178,SS,Jordan Poyer,6-0,191,-0.082373511187
40171,129,DE,Nicholas Williams,6-4,309,0.1160859169498
40253,11,DE,Lerentee McCray,6-3,249,-0.102573226406
40347,67,NT,Mike Purcell,6-3,328,0.2243021248215
40463,21,OLB,Brandon Copeland,6-3,263,-0.0353077777893
40608,49,NT,Damion Square,6-2,293,-0.13168110939
40641,117,TE,Jack Doyle,6-6,262,-0.142284375228
40688,117,CB,A.J. Bouye,6-0,191,0.33511868116
40825,98,OLB,Benson Mayowa,6-3,265,-0.14649877264
41222,252,T,Alejandro Villanueva,6-9,320,-0.380989559
41227,150,DE,Jadeveon Clowney,6-5,255,0.3201027433
41231,152,OLB,Khalil Mack,6-3,269,0.4336968819
41232,256,T,Jake Matthews,6-5,309,-0.3426465935
41235,82,OLB,Anthony Barr,6-5,255,0.82657247357
41239,238,DT,Aaron Donald,6-1,280,0.517405055
41243,179,ILB,C.J. Mosley,6-2,250,-0.34128392796
41249,87,DE,Dee Ford,6-2,252,0.05912158234
41256,177,FS,Jimmie Ward,5-11,193,0.04291671185
41257,60,CB,Bradley Roby,5-11,194,6.40119794
41258,243,QB,Teddy Bridgewater,6-2,215,-0.0042740484046
41262,59,G,Xavier Su'a-Filo,6-4,310,-0.216201846166
41263,29,DE,Demarcus Lawrence,6-3,265,0.3029644861864
41264,218,G,Joel Bitonio,6-4,320,0.045216350412
41265,263,QB,Derek Carr,6-3,210,0.11931345345
41269,181,OLB,Kyle Van Noy,6-3,250,0.165669454729
41279,63,OLB,Jeremiah Attaochu,6-3,252,0.017588667174
41286,52,RB,Carlos Hyde,6-0,229,-0.101885082055
41291,134,QB,Jimmy Garoppolo,6-2,225,0.041419012882
41293,175,C,Justin Britt,6-6,315,-0.24504136395
41296,202,T,Billy Turner,6-5,310,-0.43726176861
41300,200,OLB,Christian Kirksey,6-2,235,-0.068506057909
41310,205,G,Gabe Jackson,6-3,336,-0.4452982768
41322,163,G,Brandon Linder,6-6,315,-0.096817917393
41324,73,G,Michael Schofield,6-6,301,-0.1296312314609
41332,55,RB,Devonta Freeman,5-8,206,0.846227296669
41336,67,DT,Justin Ellis,6-2,350,0.134329104239
41338,211,CB,Ross Cockrell,6-0,191,-0.21503156644
41341,123,DT,DaQuan Jones,6-4,322,0.462172447
41348,117,ILB,Anthony Hitchens,6-0,235,-0.3221132381926
41349,100,TE,Logan Thomas,6-6,250,-0.031049687693
41358,68,CB,Dontae Johnson,6-2,200,0.1719258586
41359,44,RB,James White,5-10,205,0.02485991673
41363,80,DE,Brent Urban,6-7,300,0.366299753348
41376,57,SS,Ricardo Allen,5-9,186,-0.24928383952
41387,6,DT,Caraun Reid,6-2,292,0.4119863713
41390,238,C,Corey Linsley,6-3,301,-0.0790956745982
41403,52,OLB,Devon Kennard,6-3,256,0.494229723001
41436,272,C,Matt Paradis,6-3,300,-0.018539882609
41449,60,DE,Shamar Stephen,6-5,310,0.26105364426
41464,136,DE,Shelby Harris,6-2,290,0.268314266468
41475,259,T,Charles Leno,6-3,305,-0.128761576831
41502,190,FS,Daniel Sorensen,6-2,208,-0.252560650508
41532,86,T,James Hurst,6-5,310,-0.233995022491
41563,112,T,Cornelius Lucas,6-8,328,-0.32271524378
41595,3,NT,Mike Pennel,6-4,332,-0.06051041
41619,221,C,Trey Hopkins,6-3,316,-0.22814056508
41630,60,C,Justin McCray,6-3,317,-0.382260476461
41665,55,G,Tyler Shatley,6-3,310,-0.0331518443031
41667,15,T,Josh Wells,6-6,306,0.089430674761
41707,1,C,Tyler Larsen,6-4,325,0.202023616967
41712,60,RB,Damien Williams,5-11,224,-0.156300680309
41722,9,DE,Josh Mauro,6-6,290,0.584979849056
41786,151,DE,Kerry Hyder,6-2,270,0.283529101196
41808,37,FB,Keith Smith,6-0,240,-0.1763590895003
41915,225,OLB,Shaquil Barrett,6-2,250,0.067918952214
41919,14,DT,Zach Kerr,6-2,334,0.382032802929
41939,216,G,Andrew Norwell,6-6,325,-0.0034348163803
41947,5,ILB,Christian Jones,6-3,250,-0.080855017841
41959,238,G,Matt Feiler,6-6,330,-0.086530849514
42030,91,CB,K'Waun Williams,5-9,183,-0.27248053691
42031,178,DE,Denico Autry,6-5,285,0.1385424899
42116,197,SS,Adrian Phillips,5-11,210,0.23109066467
42302,58,TE,Chris Manhertz,6-6,255,0.116495957567
42331,45,DE,Efe Obada,6-6,265,-0.19649869061
42344,158,QB,Jameis Winston,6-4,231,0.432864945
42346,117,OLB,Dante Fowler,6-3,255,0.087424703787
42348,113,G,Brandon Scherff,6-5,315,-0.0947297480659
42349,207,DT,Leonard Williams,6-5,302,0.39417966479
42352,259,G,Ereck Flowers,6-6,329,-0.1088384776116
42355,52,NT,Danny Shelton,6-2,345,0.054704127017
42356,127,G,Andrus Peat,6-7,316,-0.252840197211
42358,152,RB,Melvin Gordon,6-1,215,0.0156269551436
42360,142,DE,Arik Armstead,6-7,292,0.07806076432
42362,194,T,Cameron Erving,6-5,313,-0.161319076668
42365,109,OLB,Bud Dupree,6-4,269,0.18685697908
42367,205,T,D.J. Humphries,6-5,307,-0.025048876377
42368,123,OLB,Shaq Thompson,6-0,230,0.305219481221
42370,205,CB,Byron Jones,6-0,205,-0.12556334876
42375,100,DT,Malcom Brown,6-2,320,0.0954733305925
42376,218,SS,Landon Collins,6-0,218,-0.317702677476
42377,270,T,Donovan Smith,6-6,338,-0.157752489309
42378,54,DT,Mario Edwards,6-3,280,0.41071638755
42381,134,OLB,Preston Smith,6-5,265,0.3999457165
42382,48,NT,Eddie Goldman,6-3,320,0.0664633647
42386,5,ILB,Benardrick McKinney,6-4,257,-0.1043832226
42388,208,ILB,Eric Kendricks,6-0,232,0.418725990765
42389,167,SS,Jaquiski Tartt,6-1,215,0.31491734903
42390,170,SS,Eric Rowe,6-1,205,-0.50654483862
42391,212,ILB,Denzel Perryman,5-11,240,-0.1188931577
42392,221,C,Mitch Morse,6-6,305,0.145400190605
42395,25,DE,Jordan Phillips,6-6,341,0.06087969349
42398,93,TE,Maxx Williams,6-4,252,-0.350615014148
42400,222,T,Rob Havenstein,6-8,328,-0.565951095
42401,181,OLB,Markus Golden,6-3,260,0.230839521864
42403,121,DE,Randy Gregory,6-5,255,0.109754125984
42404,270,G,Ali Marpet,6-4,307,-0.32666023241
42406,92,DE,Frank Clark,6-3,260,0.600989517077
42410,109,G,A.J. Cann,6-3,325,-0.168111251884
42421,95,CB,P.J. Williams,6-0,196,-0.003978976952
42424,221,G,John Miller,6-3,315,-0.1124509708853
42427,225,ILB,Jordan Hicks,6-1,236,0.7687102515
42429,122,RB,David Johnson,6-1,224,-0.1289478788287
42431,190,DE,Danielle Hunter,6-5,252,0.0954753845759
42433,48,NT,Carl Davis,6-5,320,0.371272870104
42436,13,DE,Henry Anderson,6-6,301,0.047838885186
42443,105,DT,Angelo Blackson,6-4,318,0.16445910055
42444,113,OLB,Trey Flowers,6-2,265,0.226698839536
42445,221,T,Daryl Williams,6-6,330,-0.30567167819
42460,32,TE,Blake Bell,6-6,252,-0.244298594898
42465,7,OLB,Za'Darius Smith,6-4,272,-0.0129800543
42467,34,OLB,Kwon Alexander,6-1,227,0.2065563412191
42469,182,RB,Mike Davis,5-9,221,-0.160237419636
42470,143,OLB,Damien Wilson,6-0,243,0.013638319007
42471,199,G,Jon Feliciano,6-4,323,-0.226832803919
42474,192,G,Shaquille Mason,6-1,310,0.021353696276
42476,116,C,Max Garcia,6-4,309,0.043075056517
42477,192,G,Mark Glowinski,6-4,310,-0.178353313381
42480,166,DT,Grady Jarrett,6-0,305,0.29487410301
42485,249,FS,Adrian Amos,6-0,214,-0.04028148145
42488,250,CB,Bobby McCain,5-11,192,-0.03810677549
42497,84,DT,Tyeler Davison,6-2,309,0.193418455158
42500,184,TE,C.J. Uzomah,6-6,260,-0.110974135573
42503,33,TE,Jesse James,6-7,250,0.012106075135
42535,75,DT,Darius Philon,6-1,300,0.179614188955
42543,258,FS,Quandre Diggs,5-9,197,-0.50523686946
42553,59,DT,Christian Ringo,6-1,298,0.237117363635
42559,109,NT,Christian Covington,6-2,305,0.242597195713
42560,96,DT,Rakeem Nunez-Roches,6-2,307,0.17789653982
42565,36,C,Austin Reiter,6-3,300,-0.08283320108565
42654,53,T,La'el Collins,6-4,320,-0.28242104231
42667,33,DT,Justin Hamilton,6-2,315,0.0929199822
42721,26,TE,Eric Tomlinson,6-6,263,-0.305841560569001
42765,122,G,Chris Reed,6-4,320,0.03066321019
42816,190,CB,Troy Hill,5-11,184,-0.16717601669
42826,77,DT,DeShawn Williams,6-1,292,0.295603927235
42830,186,FS,Anthony Harris,6-1,202,-0.065112041778
42831,251,QB,Taylor Heinicke,6-1,210,0.0816871244962
42837,80,RB,Malcolm Brown,5-11,222,-0.002755865113
42869,9,OLB,James Vaughters,6-1,254,-0.11271003847
42883,247,C,David Andrews,6-3,300,-0.33776242868
42901,72,SS,Dean Marlowe,6-1,208,0.24305437802
42924,250,T,Jesse Davis,6-6,325,-0.27031272049
42929,172,OLB,Alex Singleton,6-2,242,-0.06840587025
42935,168,CB,Bryce Callahan,5-9,188,-0.22100438208
42954,115,C,Greg Mancz,6-4,310,-0.0286391132576
43045,224,G,Quinton Spain,6-4,330,0.116428155747
43062,10,ILB,Nick Dzubnar,6-1,240,0.29369713462
43290,286,QB,Jared Goff,6-4,223,0.1762028846
43291,205,QB,Carson Wentz,6-5,237,0.379856347
43292,159,OLB,Joey Bosa,6-5,280,0.26996308729
43293,158,RB,Ezekiel Elliott,6-0,228,-0.270866048
43294,266,CB,Jalen Ramsey,6-1,208,-0.3563465685
43296,194,DT,DeForest Buckner,6-7,300,0.440608739
43297,143,T,Jack Conklin,6-6,308,-0.136941178806
43298,228,OLB,Leonard Floyd,6-5,240,0.107803028564
43299,261,CB,Eli Apple,6-1,203,-0.66108779198
43301,137,DT,Sheldon Rankins,6-2,305,-0.33852015761
43302,122,T,Laremy Tunsil,6-5,313,-0.519961531
43303,1,SS,Karl Joseph,5-10,200,0.11354760155
43306,100,MLB,Keanu Neal,6-1,216,0.041405582132
43307,209,C,Ryan Kelly,6-4,309,0.0574000897256
43308,104,DE,Shaq Lawson,6-3,267,-0.2981355619
43316,209,NT,Kenny Clark,6-3,314,0.217897620235
43318,50,DT,Robert Nkemdiche,6-4,296,0.41064218267
43319,43,DT,Vernon Butler,6-4,330,0.00549618341653
43320,129,T,Germain Ifedi,6-5,325,-0.174156898631
43321,203,DE,Emmanuel Ogbah,6-4,275,0.22794951797
43323,104,MLB,Jaylon Smith,6-2,245,0.0022571132917
43324,199,TE,Hunter Henry,6-5,250,-0.3935625274
43325,142,MLB,Myles Jack,6-1,244,0.0772882348081
43326,128,DT,Chris Jones,6-6,308,-0.056828455221
43330,107,ILB,Reggie Ragland,6-2,252,-0.27768350759
43332,114,NT,Austin Johnson,6-4,314,0.22438048879
43333,98,OLB,Jihad Ward,6-5,287,0.050573473821
43335,60,DT,A'Shawn Robinson,6-4,330,0.330963022034
43337,41,T,Jason Spriggs,6-6,301,-0.045658460027
43338,149,DT,Jarran Reed,6-3,306,0.045116428116
43341,206,ILB,Deion Jones,6-1,227,0.077482719777
43343,172,CB,Mackensie Alexander,5-10,192,0.04419462256
43344,203,WR,Tyler Boyd,6-2,203,-0.14423517664
43345,210,G,Cody Whitehair,6-3,309,-0.254179917708
43350,267,SS,Vonn Bell,5-11,205,0.32786221009
43352,81,DE,Adam Gotsis,6-4,287,0.171885823764
43353,250,FS,Kevin Byard,5-11,212,0.08304721457
43354,75,DE,Carl Nassib,6-7,275,0.164728955164
43356,126,DT,Maliek Collins,6-2,308,0.2075890558144
43358,198,DE,Yannick Ngakoue,6-2,246,-0.35816029098
43361,66,DE,Jonathan Bullard,6-3,296,0.107210489052
43366,17,CB,Daryl Worley,6-1,215,0.33670306833
43367,297,G,Joe Thuney,6-5,308,0.055981750553
43368,81,G,Isaac Seumalo,6-4,303,-0.127220620795
43370,137,TE,Austin Hooper,6-4,254,-0.0650673680028
43372,54,DE,Jordan Jenkins,6-3,259,0.084780554184
43373,278,CB,Kendall Fuller,5-11,198,3.79678809
43376,138,OLB,Nick Vigil,6-2,235,-0.32545022158
43377,79,OLB,Kyler Fackrell,6-5,245,-0.0023156083949
43378,151,DT,Javon Hargrave,6-2,305,0.4595668062
43380,167,QB,Jacoby Brissett,6-4,235,0.036531270467
43384,180,G,Graham Glasgow,6-6,310,-0.07069415226069
43387,223,FS,Justin Simmons,6-2,202,-0.244897044279
43388,171,ILB,Joe Schobert,6-1,245,-0.2464328813
43392,5,DT,Sheldon Day,6-1,294,-0.2332996138
43393,147,CB,Tavon Young,5-9,185,0.244851075118
43399,200,TE,Tyler Higbee,6-6,257,-0.2409614683885
43402,44,ILB,Nick Kwiatkoski,6-2,242,0.24603591799
43404,245,ILB,De'Vondre Campbell,6-4,232,0.160999003838
43405,65,DT,Hassan Ridgeway,6-3,305,1.045276925
43407,85,SS,Juston Burris,6-0,212,0.147358522578
43411,25,DT,Andrew Billings,6-1,328,0.25711951474
43420,82,ILB,Blake Martinez,6-2,237,0.417183428423
43424,215,QB,Dak Prescott,6-2,238,0.120377533248
43425,115,RB,Devontae Booker,5-11,219,-0.0096359311
43426,136,DE,Dean Lowry,6-6,296,0.4026463763
43435,206,OLB,Matt Judon,6-3,261,0.077726192733
43436,163,DT,Quinton Jefferson,6-4,291,0.12156986619
43441,136,DT,Matt Ioannidis,6-3,310,0.113246164662
43447,146,T,Brandon Shell,6-5,324,-0.34096663995
43453,286,G,Halapoulivaati Vaitai,6-6,320,-0.3090495172
43455,132,NT,D.J. Reader,6-3,347,0.16776439918399
43456,24,SS,Marqui Christian,5-11,207,0.18400005698
43460,60,RB,Alex Collins,5-10,210,-0.0314067856
43465,13,FB,Andy Janovich,6-1,238,-0.106662928742
43474,94,FS,DeAndre Houston-Carson,6-0,202,-0.19458071465
43484,145,G,Wes Schweitzer,6-5,314,0.0226472007452
43490,3,QB,Brandon Allen,6-2,209,0.37550255543
43495,24,WR,Mike Thomas,6-1,189,-0.1486293017224
43497,115,ILB,Kamu Grugier-Hill,6-2,230,0.00942701115
43503,107,ILB,Elandon Roberts,6-0,238,-0.056278737616
43516,31,OLB,Stephen Weatherly,6-5,265,0.181840959993
43522,190,CB,Jalen Mills,6-0,191,0.1023702845
43533,203,FS,Jayron Kearse,6-4,215,-0.19094581127
43540,9,ILB,Joe Walker,6-2,236,0.07059500924
43638,94,DT,Justin Zimmer,6-3,292,0.195001185455
43641,233,CB,Mike Hilton,5-9,184,-0.344556783545
43645,73,SS,Jarrod Wilson,6-2,210,-0.33706590316
43648,41,T,Justin Murray,6-5,315,-0.135299575426
43694,47,NT,Michael Pierce,6-0,340,-0.22204392782
43695,110,C,Matt Skura,6-3,313,-0.247512309162
43698,6,DT,Woodrow Hamilton,6-3,315,0.19356325984
43700,148,CB,Jonathan Jones,5-10,190,-0.06407227239
43712,80,CB,Sharrod Neasman,6-0,198,-0.2193748888
43722,161,RB,J.D. McKissic,5-10,195,0.043143249301
43757,10,SS,Andrew Adams,5-11,202,-0.332300656668
43775,86,OLB,Romeo Okwara,6-4,263,-0.106935423789
43787,60,DT,Roy Robertson-Harris,6-5,294,0.1920469412855
43791,132,DE,Morgan Fox,6-3,275,0.842885427
43797,185,OLB,Cory Littleton,6-3,228,0.08786462272
43845,38,TE,Stephen Anderson,6-3,230,-0.2797661298733
43854,40,OLB,Brennan Scarlett,6-4,263,-0.060467971514
43938,8,DT,Antwaun Woods,6-1,318,0.17444662573
43971,39,FB,C.J. Ham,5-11,235,-0.042934259931
43986,67,CB,Antonio Hamilton,6-0,190,-0.30718173978
44009,5,TE,J.P. Holtz,6-3,240,-0.159379525625
44068,115,G,Lucas Patrick,6-3,313,-0.096569656253
44075,34,TE,Garrett Griffin,6-4,240,-0.144194409789
44174,99,ILB,Sam Eguavoen,6-1,236,0.072658377021
44202,102,CB,Tevaughn Campbell,6-0,200,-0.318156549665
44792,96,TE,Mo Alie-Cox,6-5,267,-0.10809953108
44813,189,DE,Myles Garrett,6-4,272,0.3047833125
44814,3,QB,Mitchell Trubisky,6-2,215,0.156589155681
44815,128,DT,Solomon Thomas,6-2,280,0.082598983701
44816,161,RB,Leonard Fournette,6-0,228,-0.268321761817
44818,260,SS,Jamal Adams,6-1,213,-0.53008593087
44820,63,RB,Christian McCaffrey,5-11,205,-0.3439137250449
44822,280,QB,Patrick Mahomes,6-3,230,0.16406201504
44825,195,OLB,Haason Reddick,6-1,235,0.37769780164
44826,154,DE,Derek Barnett,6-3,259,0.118551499636
44827,65,FS,Malik Hooker,6-1,212,-0.270228765922
44828,257,CB,Marlon Humphrey,6-0,197,0.15625099563
44829,200,DT,Jonathan Allen,6-3,300,0.2115145075
44830,237,CB,Adoree' Jackson,5-11,185,-0.54023704192
44831,79,TE,O.J. Howard,6-6,250,-0.0102926898951
44832,257,T,Garett Bolles,6-5,300,-0.0634108813672
44834,152,OLB,Charles Harris,6-3,250,0.241810278078
44837,135,SS,Jabrill Peppers,5-11,213,0.28835165238514
44838,129,DE,Takkarist McKinley,6-2,265,-0.154758836584
44839,196,CB,Tre'Davious White,5-11,192,0.27002293776
44841,124,TE,David Njoku,6-4,246,0.00800702632
44842,143,OLB,T.J. Watt,6-4,252,0.11547080777
44844,163,T,Ryan Ramczyk,6-6,314,-0.30176966209
44845,85,CB,Kevin King,6-3,200,0.25591384996
44846,218,T,Cam Robinson,6-6,320,-0.21765301547
44847,136,DT,Malik McDowell,6-6,299,0.119579719133
44848,229,SS,Budda Baker,5-10,195,0.27424792095
44851,115,FS,Marcus Maye,6-0,207,-0.0339664789
44853,90,RB,Dalvin Cook,5-10,210,0.11170798326
44857,73,TE,Adam Shaheen,6-6,257,0.014921025669
44859,183,OLB,Tyus Bowser,6-3,240,0.0168001388492
44860,121,RB,Joe Mixon,6-1,220,-0.23466155971
44863,76,DE,DeMarcus Walker,6-4,280,0.1752834007095
44867,101,DT,Dalvin Tomlinson,6-3,318,0.063612983291
44869,114,ILB,Zach Cunningham,6-3,238,0.126424706858
44871,94,DE,Tanoh Kpassagnon,6-7,289,0.201509289975
44872,202,CB,Chidobe Awuzie,6-0,202,-0.24582816825
44875,222,T,Dion Dawkins,6-5,320,-0.25979670738
44876,272,T,Taylor Moton,6-5,325,-0.369155423
44877,184,DT,Larry Ogunjobi,6-3,305,0.3059704749
44879,128,RB,Alvin Kamara,5-10,215,0.059035994362
44880,142,DE,Dawuane Smoot,6-3,264,0.2281478834
44882,41,C,Pat Elflein,6-3,303,-0.184237443432
44886,139,DE,Chris Wormley,6-5,300,-0.39150990725
44887,6,ILB,Duke Riley,6-1,230,0.02666842345
44888,211,ILB,Alex Anzalone,6-3,240,-0.002813431958
44892,128,DE,Tarell Basham,6-4,266,0.184654349491
44893,184,CB,Fabian Moreau,6-0,204,0.61363810201
44902,194,CB,Shaquill Griffin,6-0,198,0.61994164557
44904,183,CB,Jourdan Lewis,5-10,195,-0.27649361447
44905,36,DE,Montravius Adams,6-4,304,0.098535609604
44912,92,TE,Jonnu Smith,6-3,248,-0.22139162087
44915,204,DE,Trey Hendrickson,6-4,270,0.3584012008
44917,66,RB,James Conner,6-1,233,0.124013279376
44922,50,DT,Jaleel Johnson,6-3,316,0.2722414726
44925,217,SS,Eddie Jackson,6-0,202,-0.25719647688
44926,193,SS,Rayshawn Jenkins,6-1,220,0.116674482657
44927,73,RB,Samaje Perine,5-11,240,-0.55310432741
44937,108,OLB,Jalen Reeves-Maybin,6-0,233,-0.016059247854
44938,74,DE,Samson Ebukam,6-3,245,0.33366151644
44942,8,T,David Sharpe,6-6,330,-0.08322531193
44943,118,T,Julien Davenport,6-7,325,-0.156855350577
44944,124,DE,Deatrich Wise,6-5,275,0.14253462994835
44947,84,RB,Jamaal Williams,6-0,213,-0.149769639186
44949,17,G,Sean Harlow,6-4,284,-0.0012666885809
44955,75,DE,Carlos Watkins,6-3,297,0.36541135314
44956,22,RB,Marlon Mack,6-0,210,-0.122128404352
44957,123,DT,Grover Stewart,6-4,315,0.33207576248
44964,154,CB,Desmond King,5-10,201,-0.185710892804
44968,49,ILB,Jayon Brown,6-0,226,-0.07056270256
44970,2,T,Will Holden,6-7,312,-0.095695216542
44974,112,MLB,Anthony Walker,6-1,230,-0.153678083119
